gold_id,base_date,item_name,price_krw,weight_kg,price_per_gram,price_per_ounce,created_at,updated_at,deleted_at,deleted_yn
38,2023-01-30,"미니금 99.99_100g",76010,0.1000,760.1000,24437.7642,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
39,2023-01-31,"금 99.99_1Kg",76030,1.0000,76.0300,2444.4194,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
40,2023-01-31,"미니금 99.99_100g",75780,0.1000,757.8000,24363.8176,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
41,2023-02-01,"금 99.99_1Kg",76500,1.0000,76.5000,2459.5303,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
42,2023-02-01,"미니금 99.99_100g",76260,0.1000,762.6000,24518.1410,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
43,2023-02-02,"금 99.99_1Kg",76890,1.0000,76.8900,2472.0691,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
44,2023-02-02,"미니금 99.99_100g",76620,0.1000,766.2000,24633.8836,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
45,2023-02-03,"금 99.99_1Kg",75890,1.0000,75.8900,2439.9183,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
46,2023-02-03,"미니금 99.99_100g",75720,0.1000,757.2000,24344.5271,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
47,2023-02-06,"금 99.99_1Kg",75640,1.0000,75.6400,2431.8807,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
48,2023-02-06,"미니금 99.99_100g",75500,0.1000,755.0000,24273.7956,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
49,2023-02-07,"금 99.99_1Kg",75810,1.0000,75.8100,2437.3463,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
50,2023-02-07,"미니금 99.99_100g",75760,0.1000,757.6000,24357.3874,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
51,2023-02-08,"금 99.99_1Kg",76000,1.0000,76.0000,2443.4549,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
52,2023-02-08,"미니금 99.99_100g",75920,0.1000,759.2000,24408.8286,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
53,2023-02-09,"금 99.99_1Kg",76280,1.0000,76.2800,2452.4571,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
54,2023-02-09,"미니금 99.99_100g",76170,0.1000,761.7000,24489.2054,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
55,2023-02-10,"금 99.99_1Kg",75800,1.0000,75.8000,2437.0248,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
56,2023-02-10,"미니금 99.99_100g",75640,0.1000,756.4000,24318.8066,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
57,2023-02-13,"금 99.99_1Kg",76210,1.0000,76.2100,2450.2066,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
58,2023-02-13,"미니금 99.99_100g",76170,0.1000,761.7000,24489.2054,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
59,2023-02-14,"금 99.99_1Kg",75910,1.0000,75.9100,2440.5614,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
60,2023-02-14,"미니금 99.99_100g",75880,0.1000,758.8000,24395.9683,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
61,2023-02-15,"금 99.99_1Kg",76100,1.0000,76.1000,2446.6700,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
62,2023-02-15,"미니금 99.99_100g",75970,0.1000,759.7000,24424.9039,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
63,2023-02-16,"금 99.99_1Kg",75800,1.0000,75.8000,2437.0248,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
64,2023-02-16,"미니금 99.99_100g",75610,0.1000,756.1000,24309.1613,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
65,2023-02-17,"금 99.99_1Kg",76220,1.0000,76.2200,2450.5281,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
66,2023-02-17,"미니금 99.99_100g",76190,0.1000,761.9000,24495.6355,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
67,2023-02-20,"금 99.99_1Kg",76600,1.0000,76.6000,2462.7454,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
68,2023-02-20,"미니금 99.99_100g",76380,0.1000,763.8000,24556.7219,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
69,2023-02-21,"금 99.99_1Kg",76500,1.0000,76.5000,2459.5303,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
70,2023-02-21,"미니금 99.99_100g",76390,0.1000,763.9000,24559.9370,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
71,2023-02-22,"금 99.99_1Kg",76750,1.0000,76.7500,2467.5680,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
72,2023-02-22,"미니금 99.99_100g",76650,0.1000,766.5000,24643.5289,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
73,2023-02-23,"금 99.99_1Kg",76300,1.0000,76.3000,2453.1001,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
74,2023-02-23,"미니금 99.99_100g",76050,0.1000,760.5000,24450.6245,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
75,2023-02-24,"금 99.99_1Kg",76330,1.0000,76.3300,2454.0647,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
76,2023-02-24,"미니금 99.99_100g",76310,0.1000,763.1000,24534.2164,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
77,2023-02-27,"금 99.99_1Kg",76500,1.0000,76.5000,2459.5303,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
78,2023-02-27,"미니금 99.99_100g",76500,0.1000,765.0000,24595.3028,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
79,2023-02-28,"금 99.99_1Kg",76830,1.0000,76.8300,2470.1400,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
80,2023-02-28,"미니금 99.99_100g",76730,0.1000,767.3000,24669.2494,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
81,2023-03-02,"금 99.99_1Kg",76990,1.0000,76.9900,2475.2841,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
82,2023-03-02,"미니금 99.99_100g",76870,0.1000,768.7000,24714.2605,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
83,2023-03-03,"금 99.99_1Kg",76840,1.0000,76.8400,2470.4615,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
84,2023-03-03,"미니금 99.99_100g",76740,0.1000,767.4000,24672.4645,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
85,2023-03-06,"금 99.99_1Kg",77100,1.0000,77.1000,2478.8207,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
86,2023-03-06,"미니금 99.99_100g",76870,0.1000,768.7000,24714.2605,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
87,2023-03-07,"금 99.99_1Kg",77030,1.0000,77.0300,2476.5702,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
88,2023-03-07,"미니금 99.99_100g",76970,0.1000,769.7000,24746.4112,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
89,2023-03-08,"금 99.99_1Kg",76810,1.0000,76.8100,2469.4970,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
90,2023-03-08,"미니금 99.99_100g",76820,0.1000,768.2000,24698.1851,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
91,2023-03-09,"금 99.99_1Kg",76950,1.0000,76.9500,2473.9981,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
92,2023-03-09,"미니금 99.99_100g",76790,0.1000,767.9000,24688.5399,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
93,2023-03-10,"금 99.99_1Kg",77750,1.0000,77.7500,2499.7187,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
94,2023-03-10,"미니금 99.99_100g",77620,0.1000,776.2000,24955.3909,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
95,2023-03-13,"금 99.99_1Kg",78130,1.0000,78.1300,2511.9360,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
96,2023-03-13,"미니금 99.99_100g",78200,0.1000,782.0000,25141.8651,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
97,2023-03-14,"금 99.99_1Kg",80000,1.0000,80.0000,2572.0578,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
98,2023-03-14,"미니금 99.99_100g",79420,0.1000,794.2000,25534.1039,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
99,2023-03-15,"금 99.99_1Kg",79330,1.0000,79.3300,2550.5168,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
100,2023-03-15,"미니금 99.99_100g",79000,0.1000,790.0000,25399.0708,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
101,2023-03-16,"금 99.99_1Kg",80570,1.0000,80.5700,2590.3837,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
102,2023-03-16,"미니금 99.99_100g",80300,0.1000,803.0000,25817.0302,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
103,2023-03-17,"금 99.99_1Kg",80560,1.0000,80.5600,2590.0622,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
104,2023-03-17,"미니금 99.99_100g",80300,0.1000,803.0000,25817.0302,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
105,2023-03-20,"금 99.99_1Kg",83490,1.0000,83.4900,2684.2638,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
106,2023-03-20,"미니금 99.99_100g",82810,0.1000,828.1000,26624.0134,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
107,2023-03-21,"금 99.99_1Kg",83020,1.0000,83.0200,2669.1530,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
108,2023-03-21,"미니금 99.99_100g",82270,0.1000,822.7000,26450.3995,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
109,2023-03-22,"금 99.99_1Kg",81340,1.0000,81.3400,2615.1398,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
110,2023-03-22,"미니금 99.99_100g",80940,0.1000,809.4000,26022.7949,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
111,2023-03-23,"금 99.99_1Kg",81360,1.0000,81.3600,2615.7828,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
112,2023-03-23,"미니금 99.99_100g",81140,0.1000,811.4000,26087.0963,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
113,2023-03-24,"금 99.99_1Kg",82300,1.0000,82.3000,2646.0045,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
114,2023-03-24,"미니금 99.99_100g",82090,0.1000,820.9000,26392.5282,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
115,2023-03-27,"금 99.99_1Kg",82400,1.0000,82.4000,2649.2195,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
116,2023-03-27,"미니금 99.99_100g",81920,0.1000,819.2000,26337.8719,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
117,2023-03-28,"금 99.99_1Kg",81670,1.0000,81.6700,2625.7495,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
118,2023-03-28,"미니금 99.99_100g",81300,0.1000,813.0000,26138.5375,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
119,2023-03-29,"금 99.99_1Kg",82000,1.0000,82.0000,2636.3593,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
120,2023-03-29,"미니금 99.99_100g",81690,0.1000,816.9000,26263.9253,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
121,2023-03-30,"금 99.99_1Kg",81960,1.0000,81.9600,2635.0732,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
122,2023-03-30,"미니금 99.99_100g",81760,0.1000,817.6000,26286.4308,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
